id,group,number of queries,length of queries,number of tokens,number of definitions,number of unparsable queries,number of induced queries,number of core language queries,length of successful queries,tokens in unsuccessful,queries by others,queries by self
j1u4wqfolw,B,146,5664,1051,16,43,55,48,3836,707,0,55
7dq8vppkyq,B,107,3758,625,19,43,39,25,2082,357,0,39
jl9pgqpg22,B,197,5630,1068,22,69,63,65,3225,622,0,63
michalis,B,97,2760,513,25,26,43,28,2115,401,0,43
6rs7o8lcn9,C,171,2293,472,9,22,37,112,2005,413,12,25
5opm624f8v,C,96,1786,357,13,12,58,26,1554,309,33,25
2dus7g7pqo,C,116,3301,626,11,28,61,27,2413,456,50,11
xy2rs9zcr1,C,136,3060,585,5,31,51,54,2190,430,38,13
z8y9f8um1y,C,95,3134,598,18,35,31,29,1663,320,19,12
cmq2tfa5e3,B,195,5873,1194,32,55,63,77,4222,870,0,63
e7w2n1okqa,B,208,5016,943,21,59,73,76,3192,600,0,73
33n3r0dggo,B,229,5156,1045,28,66,83,80,3673,736,0,83
2tfqeglmg2,A,116,11320,2015,0,37,0,79,8016,1425,0,0
e3rqzmnhlz,A,93,5018,921,0,19,0,74,4059,737,0,0
33v44pubuo,A,137,8034,1395,0,35,0,102,5400,944,0,0
djlz00nc5j,A,149,9589,1633,0,39,0,110,7091,1203,0,0
fmb4vqhclv,A,189,7034,1318,0,46,0,143,4793,901,0,0
62jwi4ee4s,C,227,4113,857,0,14,30,183,3716,774,30,0
p6fjeds6lr,C,133,2689,534,18,28,67,38,1949,393,45,22
d8uy7sqcib,C,129,3930,729,12,33,72,24,2668,506,47,25
9a9fe4k1ga,C,103,2275,447,26,32,54,17,1430,282,47,7
hp1deow6jp,B,158,3041,620,15,40,31,87,2382,480,0,31
mpvjcmzpu5,B,171,2967,618,9,26,35,110,2500,515,0,35
tillSum,B,234,3490,722,25,50,110,74,2720,562,0,110
A1,A,73,7584,1398,0,17,0,56,6055,1105,0,0
A2,A,159,6723,1220,0,15,0,144,5701,1035,0,0
A3,A,157,16337,2790,0,58,0,99,10867,1853,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
overall A,,134.125,8954.875,1586.25,0,33.25,0,100.875,6497.75,1150.375,0,0
overall B,,174.2,4335.5,839.9,21.2,47.7,59.5,67,2994.7,585,0,59.5
overall C,,134,2953.4444444445,578.3333333333,12.4444444444,26.1111111111,51.2222222222,56.6666666667,2176.4444444445,431.4444444444,35.6666666667,15.5555555556
